,d,Share,Run,Price
54,2020-03-19,51.524259338772005,10,23.29
55,2020-04-16,45.248868778280546,11,26.52
56,2020-04-08,46.15384615384615,11,26.0
57,2020-04-01,49.079754601226995,11,24.45
58,2020-03-25,49.52538175815105,11,24.23
59,2020-03-18,51.679586563307495,11,23.22
60,2020-04-15,45.50625711035267,12,26.37
61,2020-04-07,47.05882352941177,12,25.5
62,2020-03-31,47.84688995215311,12,25.08
63,2020-03-24,50.272308336824466,12,23.87
64,2020-03-17,49.32182490752158,12,24.33
65,2020-04-14,45.028142589118204,13,26.65
66,2020-04-06,47.02194357366771,13,25.52
67,2020-03-30,47.56242568370987,13,25.23
68,2020-03-23,52.747252747252745,13,22.75
69,2020-03-16,50.3989920201596,13,23.81
70,2020-04-13,45.854031333588075,14,26.17
71,2020-04-03,48.721071863581,14,24.63
72,2020-03-27,48.484848484848484,14,24.75
73,2020-03-20,52.2420548541576,14,22.97
74,2020-03-13,46.62004662004662,14,25.74
75,2020-04-09,45.62737642585551,15,26.3
